Created at,Title,Author(s),Publisher,Genre,Year Published,First Published,ISBN,Series,Volume
"09.11.2025","The First Men in the Moon","H. G. Wells","Dell Publishing","","1967","1900",,,
"09.11.2025","The War of the Worlds","H. G. Wells","Pan Books","","1975","1898","0-330-24332-2",,
"09.11.2025","Citizen of the Galaxy","Robert A. Heinlein","Del Rey","","1991","1957","0-345-34244-5",,
"09.11.2025","A Tale of a Tub and other Satires","Jonathan Swift","J. M. Dent &amp; Sons Ltd.","","1968",,"460-00347-x",,
"09.11.2025","Gulliver’s Travels","Jonathan Swift","Macmillan","","1922",,,,
"09.11.2025","The Mysterious Affair at Styles","Agatha Christie","Harper Collins","","2007","1920","978-0-00-711927-1","Hercule Poirot","1"
"09.11.2025","Poirot Investigates","Agatha Christie","Harper Collins","","2011","1924","978-0-06-207400-3","Hercule Poirot","3"
"09.11.2025","The Big Four","Agatha Christie","Harper Collins","","2002","1927","978-0-00-712081-9","Hercule Poirot","5"
"09.11.2025","The Mystery of the Blue Train","Agatha Christie","Harper Collins","","2001","1928","978-0-00-712076-5","Hercule Poirot","6"
"09.11.2025","Black Coffee (Novelization by Charles Osborne)","Agatha Christie","Harper Collins","","2002","1998","978-0-00-651137-3","Hercule Poirot","7"
"09.11.2025","Lord Edgware Dies","Agatha Christie","Harper Collins","","2007","1933","978-0-00-712074-1","Hercule Poirot","9"
"09.11.2025","Murder on the Orient Express","Agatha Christie","Harper Collins","","2007","1934","978-0-00-711931-8","Hercule Poirot","10"
"09.11.2025","The A.B.C. Murders","Agatha Christie","Harper Collins","","2007","1936","978-0-00-711929-5","Hercule Poirot","13"
"09.11.2025","Murder in Mesopotamia","Agatha Christie","Harper Collins","","2001","1936","978-0-00-711380-4","Hercule Poirot","14"
"09.11.2025","Cards on the Table","Agatha Christie","Harper Collins","","2001","1936","978-0-00-711934-9","Hercule Poirot","15"
"09.11.2025","Murder in the Mews","Agatha Christie","Harper Collins","","2002","1937","978-0-00-712088-8","Hercule Poirot","16"
"09.11.2025","Death on the Nile","Agatha Christie","Harper Collins","","2001","1937","978-0-00-711932-5","Hercule Poirot","18"
"09.11.2025","Appointment with Death","Agatha Christie","Harper Collins","","2001","1938","978-0-00-711935-6","Hercule Poirot","19"
"09.11.2025","Hercule Poirot&#039;s Christmas","Agatha Christie","Harper Collins","","2001","1938","978-0-00-712069-7","Hercule Poirot","20"
"09.11.2025","The Grapes of Wrath; The Moon is Down; Cannery Row; East of Eden; Of Mice and Men","John Steinbeck","Book Club Associates","","1986","1939",,,
"09.11.2025","The Great Gatsby","F. Scott Fitzgerald","CRW Publishing Limited","","2012","1925","978-1-907360-75-6",,
"09.11.2025","Oliver Twist","Charles Dickens","T. Nelson &amp; Sons Ltd.","","1912",,,"Nelson’s Library","11"
"09.11.2025","Paradise Lost and Paradise Regained (Poetical Works)","John Milton","Bernhard Tauchnitz","","1850",,,,
"09.11.2025","Robinson Crusoe","Daniel De Foe","George Routledge and Sons, Limited","",,,,,
"09.11.2025","The Adventures of Tom Sawyer and The Adventures of Huckleberry Finn","Mark Twain","Platt &amp; Munk, Publishers","","1960",,,,
"09.11.2025","The Complete Works of William Shakespeare","William Shakespeare","The Gawthorn Press Ltd., The Bruce Publishing Co., Ltd.","",,,,,
"09.11.2025","The Complete Sherlock Holmes","Arthur Conan Doyle","CRW Publishing Limited","","2005",,"1-904633-95-1",,
"09.11.2025","Krabat","Otfried Preußler","Georg Popp","","1976",,"3-88155-001-1",,
"09.11.2025","Jim Knopf und Lukas der Lokomotivführer","Michael Ende","Thienemann Verlag","",,,"3-522-14980-7",,
"09.11.2025","Jim Knopf und die Wilde 13","Michael Ende","Thienemann Verlag","",,,"3-552-14990-4",,
"09.11.2025","Der satanarchäolügenialkohöllische Wunschpunsch","Michael Ende","Thienemann Verlag","",,,"3-552-16610-8",,
"09.11.2025","Der Räuber Hotzenplotz","Otfried Preußler","Thienemann Verlag","",,,"3-552-10590-7",,
"09.11.2025","Herr der Diebe","Cornelia Funke","Cecilie Dressler Verlag","","2004",,"3-7915-0457-6",,
"09.11.2025","Steuermann Ready","Käp’ten Frederick Marryat","Verlag Karl Müller","",,,,,
"09.11.2025","Emil und die Detektive","Erich Kästner","Cecilie Dressler Verlag","",,,,,
"09.11.2025","Die Reise zum Mittelpunkt der Erde","Jules Verne","Vier Falken Verlag","","1959",,,,
"09.11.2025","In 80 Tagen um die Welt","Jules Verne","C. Bertelsmann Verlag","","1957",,,,
"09.11.2025","Reise zum Mond und zur Sonne","Savinien Cyrano de Bergerac","Eichborn","","2005",,"3-8218-0732-6",,
"09.11.2025","Die Aufzeichnungen des Malte Laurids Brigge","Rainer Maria Rilke","Insel Verlag","","1973",,,,
"09.11.2025","Corpus Delicti","Juli Zeh","btb Verlag","","2010",,"978-3-442-74066-6",,
"09.11.2025","Der Abenteuerliche Simplicissimus","Hans Jakob Christoffel von Grimmelshausen","Patmos Verlag","","2000",,,,
"09.11.2025","Doktor Faustus","Thomas Mann","Fischer Taschenbuch Verlag","","2013",,"978-3-596-29428-2",,
"09.11.2025","Der Untertan","Heinrich Mann","Aufbau-Verlag","","1951",,,,
"09.11.2025","Die Physiker","Friedrich Dürrenmatt","Diogenes","",,,"978-3-257-23047-5",,
"09.11.2025","Der Richter und sein Henker","Friedrich Dürrenmatt","Diogenes","",,,"978-3-257-22535-8",,
